state,total,dem,gop
Alabama,1883449,693933,1176394
Alaska,312598,111025,190889
Arizona,2012585,893524,1104294
Arkansas,1054945,469953,572898
California,12421852,6745485,5509826
Colorado,2130330,1001732,1101255
Connecticut,1578769,857488,693826
Delaware,375190,200152,171660
Dist. of Col.,227586,202970,21256
Florida,7609810,3583544,3964522
Georgia,3301875,1366149,1914254
Hawaii,429013,231708,194191
Idaho,598447,181098,409235
Illinois,5274322,2891550,2345946
Indiana,2468002,969011,1479438
Iowa,1506908,741898,751957
Kansas,1187756,434993,736456
Kentucky,1795882,712733,1069439
Louisiana,1943106,820299,1102169
Maine,740752,396842,330201
Maryland,2386678,1334493,1024703
Massachusetts,2912388,1803800,1071109
Michigan,4839252,2479183,2313746
Minnesota,2828387,1445014,1346695
Mississippi,1152145,458094,684981
Missouri,2731364,1259171,1455713
Montana,450445,173710,266063
Nebraska,778186,254328,512814
Nevada,829587,397190,418690
New Hampshire,677738,340511,331237
New Jersey,3611691,1911430,1670003
New Mexico,756304,370942,376930
New York,7391036,4314280,2962567
North Carolina,3501007,1525849,1961166
North Dakota,312833,111052,196651
Ohio,5627908,2741167,2859768
Oklahoma,1463758,503966,959792
Oregon,1836782,943163,866831
Pennsylvania,5769590,2938095,2793847
Rhode Island,437134,259765,169046
South Carolina,1617730,661699,937974
South Dakota,388215,149244,232584
Tennessee,2437319,1036477,1384375
Texas,7410765,2832704,4526917
Utah,927844,241199,663742
Vermont,312309,184067,121180
Virginia,3198367,1454742,1716959
Washington,2859084,1510201,1304894
West Virginia,755887,326541,423778
Wisconsin,2997007,1489504,1478120
Wyoming,243428,70776,167629
