state,votes
US,129070906
AL,2074338
AK,300495
AZ,2306559
AR,1069468
CA,13038547
CO,2569522
CT,1558960
DE,413921
DC,293764
FL,8474179
GA,3900050
HI,434697
ID,652274
IL,5242014
IN,2624534
IA,1582180
KS,1156254
KY,1797212
LA,1994065
ME,713180
MD,2707327
MA,3167767
MI,4730961
MN,2936561
MS,1285584
MO,2757323
MT,484048
NE,794379
NV,1014918
NH,710972
NJ,3640292
NM,783757
NY,7074723
NC,4505372
ND,322627
OH,5580822
OK,1334872
OR,1789270
PA,5742040
RI,446049
SC,1964118
SD,363815
TN,2458577
TX,7993851
UT,1017440
VT,299290
VA,3854489
WA,3125516
WV,670438
WI,3068434
WY,249061
